Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Hill District,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Bobowicz,1,Squirrel Hill,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,,1,East Liberty,9782701545530,Lewis Carroll,work,1865,,,,
Pete Wont Eat,Even the dog won't eat my meat loaf,,1,Sheraden,896450112,Carl Larsen,work,1980,,198,"Addresses, essays, lectures,Cookery,Food,Home economics",
Pete Wont Eat,Even the dog won't eat my meat loaf,,1,South Side,896450112,Carl Larsen,work,1980,,198,"Addresses, essays, lectures,Cookery,Food,Home economics",
Nits And Sow,,,1,Sheraden,No ISBN Found,,,,,,,
Thunder Rose,Thunder Rose,,1,Sheraden,152164723,Jerdine Nolen,work,2003,,,"African Americans,Fiction,Tall tales,Juvenile fiction,Accessible book,Protected DAISY",West (U.S.)
Goosebumps,Goosebumps,,1,Sheraden,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Carrick,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Main (Oakland),0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,3,Main (Oakland),0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Carrick,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Hill District,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Hill District,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Hill District,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,R.L. Stine,1,Hill District,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Goosebumps,Goosebumps,,1,Knoxville,0-590-47744-7,R. L. Stine,work,1994,,,"In library,Protected DAISY",
Two Guys Detective Agency,,Stephanie Bond,1,Downtown & Business,No ISBN Found,,,,,,,
Frog On A Log,Frog on a log,Kes Gray,1,Sheraden,780222555,Norma L. Gentner,work,1995,,,,
Frog On A Log,Frog on a log,Kes Gray,1,South Side,780222555,Norma L. Gentner,work,1995,,,,
Frog On A Log,Frog on a log,Kes Gray,1,Brookline,780222555,Norma L. Gentner,work,1995,,,,
Terrific Trains,Terrific Trains,Tony Mitton,1,Main (Oakland),No ISBN Found,Tony Mitton and Ant Parker,work,1998,,,,
Terrific Trains,Terrific Trains,Tony Mitton,1,Main (Oakland),No ISBN Found,Tony Mitton and Ant Parker,work,1998,,,,
Terrific Trains,Terrific Trains,Tony Mitton,1,Main (Oakland),No ISBN Found,Tony Mitton and Ant Parker,work,1998,,,,
Terrific Trains,Terrific Trains,Tony Mitton,1,Main (Oakland),No ISBN Found,Tony Mitton and Ant Parker,work,1998,,,,
Little Ballet Star,Little Ballet Star,,1,Sheraden,803732376,Adele Geras,work,2008,1 pounds,32,,
Blue Sky,Congratulations Graduate You Did It!,,1,Sheraden,1594750106,Blue SKy Ink,work,2004,5.6 ounces,128,,
Blue Sky,Congratulations Graduate You Did It!,,1,Carrick,1594750106,Blue SKy Ink,work,2004,5.6 ounces,128,,
Snow Baby,Babies,Image Books,2,Main (Oakland),9781855760219,"Richard Powell,Alan Snow",work,,,,,
Snow Baby,Babies,Image Books,2,Main (Oakland),9781855760219,"Richard Powell,Alan Snow",work,,,,,
,,,1,Sheraden,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,-,1,Brookline,No ISBN Found,,,,,,,
,,,1,Main (Oakland),No ISBN Found,,,,,,,
,,,1,Squirrel Hill,No ISBN Found,,,,,,,
,,,1,Squirrel Hill,No ISBN Found,,,,,,,
The Granddaughter,The granddaughter,,1,Sheraden,896213463,Lois Wyse,work,1981,,540,"Large type books,Accessible book,Protected DAISY,In library",
Imagine Me Gone,Orange Clouds Blue Sky - A  Novel (Teen/Young Adult),Adam Haslett,1,Main (Oakland),1432713248,J. Hale Turner,work,2008,,,,
Imagine Me Gone,Orange Clouds Blue Sky - A  Novel (Teen/Young Adult),Adam Haslett,1,Main (Oakland),1432713248,J. Hale Turner,work,2008,,,,
Unsee City,,Nathanael Johnson,1,Main (Oakland),No ISBN Found,,,,,,,
Garfield Show,Garfield,,1,Sheraden,307001105,Golden Books,work,1988,,24,,
How To Train Your Dragon,How to train your dragon,,1,Sheraden,9780316737371,Cressida Cowell,work,2003,,,,
How To Train Your Dragon,How to train your dragon,Cressida Cowell,1,South Side,9780316737371,Cressida Cowell,work,2003,,,,
How To Train Your Dragon,How to train your dragon,Cressida Cowell,1,West End,9780316737371,Cressida Cowell,work,2003,,,,
How To Train Your Dragon,How to train your dragon,Cressida Cowell,1,Knoxville,9780316737371,Cressida Cowell,work,2003,,,,
The Taming,Modeling the conversion of glucose to hydroxymethylfurfural,A. M. Rycroft,1,Mt. Washington,No ISBN Found,Ta-ming Liu,work,1989,,,,
Tractor Mac New Friend,,Billy Steers,1,Main (Oakland),No ISBN Found,,,,,,,
Tractor Mac New Friend,,Billy Steers,1,Main (Oakland),No ISBN Found,,,,,,,
Tractor Mac New Friend,,Billy Steers,1,Main (Oakland),No ISBN Found,,,,,,,
Whale,The half-shut eye,David Lucas,1,Main (Oakland),9780333010792,John Whale,work,1969,,,,
Whale,The half-shut eye,David Lucas,1,Main (Oakland),9780333010792,John Whale,work,1969,,,,
Memory Man,Scrapbook Embellishments,David Baldacci,1,Main (Oakland),1892127318,Memory Makers,work,2004,,,,
Shock Wave,Shock wave,John Sandford,1,Main (Oakland),783815794,Clive Cussler,work,1996,,757,"Dirk Pitt (Fictitious character),Fiction,Adventure stories,Accessible book,Protected DAISY,In library",
Shock Wave,Shock wave,Clive Cussler,1,Carrick,783815794,Clive Cussler,work,1996,,757,"Dirk Pitt (Fictitious character),Fiction,Adventure stories,Accessible book,Protected DAISY,In library",
Tragic,Tragic ground,Robert K. Tanenbaum,1,Main (Oakland),No ISBN Found,"Caldwell, Erskine",work,1944,,,,
Our Kids,Our Kid,Robert D. Putnam,1,Main (Oakland),747261539,Billy Hopkins,work,1999,,,,
Saving Alex,Save Halloween!,Alex Cooper,1,West End,9780688154974,Alex Hill,work,1993,,,,
Cyborg   Unplugged,Digital culture unplugged,David F. walker Iven Reis Joe Prado Adriano Lucas,1,South Side,415445450,,work,2007,,,,
Sing Down The Moon,Sing Down the Moon,Scott O'Dell,1,South Side,9780881038798,Scott O'Dell,work,1970,4.5 ounces,121,"Fiction,Navajo Indians,Indians of North America,Accessible book,Protected DAISY,Juvenile fiction,In library",New Southwest
Sing Down The Moon,Sing Down the Moon,,1,Brookline,9780881038798,Scott O'Dell,work,1970,4.5 ounces,121,"Fiction,Navajo Indians,Indians of North America,Accessible book,Protected DAISY,Juvenile fiction,In library",New Southwest
Tuck Everlasting,Tuck Everlasting,Natalie Babbitt,1,South Side,812447697,Natalie Babbitt,work,1975,,,"Accessible book,Aging,Aging in fiction,Children's stories,Envejecimiento,Fantasy,Ficción juvenil,Fiction,Immortality,Immortality in fiction,Inmortalidad,Juvenile fiction,Novela fantástica,Protected DAISY,Secretos,Secrets,Secrets in fiction,Spanish language materials,Fantastic fiction,In library",
The 5th Wave,the 5th wave,,1,Downtown & Business,142425834,Rick Yancey,work,2013,,,,
The 5th Wave,the 5th wave,Rick Yancey,1,Main (Oakland),142425834,Rick Yancey,work,2013,,,,
The 5th Wave,the 5th wave,Rick Yancey,1,Carrick,142425834,Rick Yancey,work,2013,,,,
The 5th Wave,the 5th wave,,1,Brookline,142425834,Rick Yancey,work,2013,,,,
Sugar Gummy And Lolly Pop,,Ellen Miles,2,Woods Run,No ISBN Found,,,,,,,
Im Traveling Alone,Those wonderful moments of transitory unconsciousness,Frode Sander Øien,1,Downtown & Business,No ISBN Found,Diego Martinez Montano,work,2000,,,,
Im Traveling Alone,Those wonderful moments of transitory unconsciousness,Samuel Bjork,1,Lawrenceville,No ISBN Found,Diego Martinez Montano,work,2000,,,,
The Last Days Of Magic,The Last Day of Magic,mark tompkins,1,Downtown & Business,9781583454251,Scott M. Stoffel,work,2001,,,,
The Last Days Of Magic,The Last Day of Magic,Marc Tompkins,1,Brookline,9781583454251,Scott M. Stoffel,work,2001,,,,
Go Baby Go,"Go, Baby, Go",,1,Sheraden,439725925,Ann Blakeslee,work,2005,4.8 ounces,4,"Stories in rhyme,Toy and movable books,Infants,Specimens,Juvenile literature,Pictorial works,Textured books",
Dont Spill The Milk,,,1,Sheraden,No ISBN Found,,,,,,,
Maisy Goes To Preschool,Maisy goes to preschool,,1,Sheraden,763642541,Lucy Cousins,work,2009,9.6 ounces,32,"Fiction,Nursery schools,Schools,Mice,Animals",
Maisy Goes To Preschool,Maisy goes to preschool,Lucy Cousins,1,Allegheny,763642541,Lucy Cousins,work,2009,9.6 ounces,32,"Fiction,Nursery schools,Schools,Mice,Animals",
Little Owl 123,,,1,Sheraden,No ISBN Found,,,,,,,
The Power Of Myth,Power and the Myth,Joseph Campbell,1,Main (Oakland),6308598399,House of Lords       Cdcleo          1421,work,2004,,,,
The Silver Six,The core six,A. J. Lieberman,1,South Side,1416614753,Harvey F. Silver,work,2012,,,,
Seahorse The Shy Fish In The Sea,,Chris Butterworth,1,South Side,No ISBN Found,,,,,,,
Seashore Treasure,Seashore treasures,Stan Berenstain,3,Squirrel Hill,No ISBN Found,Charles Howard Edmondson,work,1949,,,,
The Trouble With Chores,The Berenstain Bears and the trouble with chores,Stan Berenstain,1,Squirrel Hill,9780060573829,Stan Berenstain,work,2005,,,,
Zach Gets Frustrated,Zach gets frustrated,William Mulcahy,2,Squirrel Hill,9781575426693,William Mulcahy,work,2012,,,"Juvenile literature,Frustration",
Ok Kids,"OK, kids",Bobby Lynn Maslen,1,Squirrel Hill,439121981,Bobby Lynn Maslen,work,1999,,,"Readers (Primary),English language,Study and teaching (Primary),Protected DAISY,In library",
Clifford The Big Red Dog The Missing Beach Ball,Clifford the Big Red Dog,Sonali Fry,1,Main (Oakland),439644925,,work,2004,,,,
The Intercept,Intercept,Dick Wolf,1,Squirrel Hill,9780460043373,Józef Garliński,work,1979,,,,
The Execution,Executions,Dick Wolf,1,Squirrel Hill,No ISBN Found,National Council for the Abolition of the Death Penalty.,work,1929,,,,
The Westing Game,Westing Game,Ellen Raskin,1,Main (Oakland),1417746904,Ellen Raskin,work,2004,,,,
The Westing Game,Westing Game,Ellen Raskin,1,Downtown & Business,1417746904,Ellen Raskin,work,2004,,,,
The Westing Game,Westing Game,Ellen Raskin,1,Brookline,1417746904,Ellen Raskin,work,2004,,,,
The Vincent Boys,The boy who saved Christmas,Abbi Glines,1,Main (Oakland),1853712027,Vincent McDonnell,work,1992,,,,
The Vincent Brothers,Words to my brother Theo,Abbi Glines,1,Main (Oakland),No ISBN Found,Vincent van Gogh,work,1986,,,,
Sonic Supersized Comics Digest,,,1,Main (Oakland),No ISBN Found,,,,,,,
Cliffords Class Trip,Clifford's class trip,Norman Bridwell,1,Main (Oakland),545223199,Norman Bridwell,work,2003,,,,
36 Arguments For The Existence Of God A Work Of Fiction,36 arguments for the existence of God,Rebecca Newberger Goldstein,1,Squirrel Hill,9780307378903,Rebecca Goldstein,work,2010,,,"Faith and reason,Fiction,OverDrive,Literature,Protected DAISY",
Something Borrowed,Something borrowed,Emily Giffin,1,Main (Oakland),312600720,EMILY GIFFIN,work,2004,,,,
When Youre Back,When your boy comes back to you ..,Abbi Glines,1,Main (Oakland),No ISBN Found,Gordon V. Thompson,work,1916,,,,
When Youre Back,When your boy comes back to you ..,Abbi Glines,1,Main (Oakland),No ISBN Found,Gordon V. Thompson,work,1916,,,,
Charade,Charade,Sandra Brown,1,Main (Oakland),446601853,Sandra Brown,work,1994,,471,"Fiction,Large type books,Man-woman relationships,Serial murders,Women television personalities,Accessible book,Protected DAISY,In library,Suspense fiction","San Antonio,San Antonio (Tex.),Texas,United States"
Sleepy Dog,Sleepy dog,Harriet Ziefert,1,Main (Oakland),9780394968773,Harriet Ziefert,work,1984,,32,"Fiction,Dreams in fiction,Dogs in fiction,Bedtime in fiction,Night in fiction,Bedtime,Night,Dogs,Dreams,Children's stories, American,Readers,Accessible book,Protected DAISY,In library",
Sleepy Dog,Sleepy dog,"Ziefert, Harriet",1,East Liberty,9780394968773,Harriet Ziefert,work,1984,,32,"Fiction,Dreams in fiction,Dogs in fiction,Bedtime in fiction,Night in fiction,Bedtime,Night,Dogs,Dreams,Children's stories, American,Readers,Accessible book,Protected DAISY,In library",
Sleepy Dog,Sleepy dog,"Ziefert, Harriet",1,East Liberty,9780394968773,Harriet Ziefert,work,1984,,32,"Fiction,Dreams in fiction,Dogs in fiction,Bedtime in fiction,Night in fiction,Bedtime,Night,Dogs,Dreams,Children's stories, American,Readers,Accessible book,Protected DAISY,In library",
My Brother Charlie,My brother Charlie,Holly Robinson Peete,1,Main (Oakland),9780545094665,Holly Robinson Peete,work,2010,,,,
My Brother Charlie,My brother Charlie,Holly Robinson Peete,1,Main (Oakland),9780545094665,Holly Robinson Peete,work,2010,,,,
Junas Jar,,Jane Bahk,1,Main (Oakland),No ISBN Found,,,,,,,
Junas Jar,,Jane Bahk,1,Main (Oakland),No ISBN Found,,,,,,,
Pig And Pug,A Pig and a Pug,Lynne Berry,1,Main (Oakland),1412018595,Vanessa Knight,work,2004,,,,
Pig And Pug,A Pig and a Pug,Lynne Berry,1,Main (Oakland),1412018595,Vanessa Knight,work,2004,,,,
Pig And Pug,A Pig and a Pug,Lynne Berry,1,Squirrel Hill,1412018595,Vanessa Knight,work,2004,,,,
Goldilocks And The Three Bears,Goldilocks,Kate Clynes and Louise Daykin,1,Main (Oakland),No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,Kate Clynes & Louise Daykin,1,Main (Oakland),No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,"Chichester Clark, Emma",2,Downtown & Business,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,,1,Main (Oakland),No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,Jim Aylesworth,1,South Side,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,James Marshall,1,East Liberty,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,Jim Aylesworth,1,Brookline,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,James Marshall,2,East Liberty,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,James Marshall,1,Beechview,No ISBN Found,Van Gool,work,1999,,,,
Goldilocks And The Three Bears,Goldilocks,James Marshall,1,Beechview,No ISBN Found,Van Gool,work,1999,,,,
Bath Time For Biscuit,Bathtime for Biscuit,Alyssa Satin Capucilli,1,Main (Oakland),613228197,Alyssa Capucilli,work,2001,,,,
Bath Time For Biscuit,Bathtime for Biscuit,Alyssa Satin Capucilli,1,Main (Oakland),613228197,Alyssa Capucilli,work,2001,,,,
The Great American Whatever,"Maximization, Whatever the Cost",Tim Federle,1,Main (Oakland),9780275966492,Maurice T. Cunningham,work,2000,,,,
The Great American Whatever,"Maximization, Whatever the Cost",Tim Federle,1,Main (Oakland),9780275966492,Maurice T. Cunningham,work,2000,,,,
The Great American Whatever,"Maximization, Whatever the Cost",Tim Federle,1,Main (Oakland),9780275966492,Maurice T. Cunningham,work,2000,,,,
The Great American Whatever,"Maximization, Whatever the Cost",Tim Federle,1,Main (Oakland),9780275966492,Maurice T. Cunningham,work,2000,,,,
The Great American Whatever,"Maximization, Whatever the Cost",Tim Federle,1,East Liberty,9780275966492,Maurice T. Cunningham,work,2000,,,,
Pennys Marble,Penny and Her Marble,Kevin Henkes,1,Main (Oakland),545630878,Kevin Henkes,work,2012,,,"Mice,Marbles,Lost and found possessions,Fiction",
Bun And Chub,,Foster & Erikson,1,East Liberty,No ISBN Found,,,,,,,
Bun And Chub,,Foster & Erikson,1,East Liberty,No ISBN Found,,,,,,,
Fred And Ted Luke To Fly,,Peter Eastman,1,East Liberty,No ISBN Found,,,,,,,
Lulu Goes To Witch School,Lulu goes to witch school,Jane o'connor,1,Squirrel Hill,833569554,Jane O'Connor,work,1987,7.2 ounces,,"Fiction,Schools,Witches in fiction,Witches,Schools in fiction",
Lulu Goes To Witch School,Lulu goes to witch school,Jane O'connor,1,Squirrel Hill,833569554,Jane O'Connor,work,1987,7.2 ounces,,"Fiction,Schools,Witches in fiction,Witches,Schools in fiction",
Lulu Goes To Witch School,Lulu goes to witch school,-,1,Brookline,833569554,Jane O'Connor,work,1987,7.2 ounces,,"Fiction,Schools,Witches in fiction,Witches,Schools in fiction",
Lulu Goes To Witch School,Lulu goes to witch school,,1,Downtown & Business,833569554,Jane O'Connor,work,1987,7.2 ounces,,"Fiction,Schools,Witches in fiction,Witches,Schools in fiction",
Biscuit In The Garden,Biscuit in the garden,Alyssa Satin Capucilli,1,East Liberty,61935042,Alyssa Satin Capucilli,work,2013,,,,
Biscuit In The Garden,Biscuit in the garden,Alyssa Satin Capucilli,1,East Liberty,61935042,Alyssa Satin Capucilli,work,2013,,,,
Biscuit In The Garden,Biscuit in the garden,Alyssa Satin Capucilli,1,Main (Oakland),61935042,Alyssa Satin Capucilli,work,2013,,,,
Fred And Ted Like To Fly,Fred and Ted like to fly,Peter Eastman,1,East Liberty,375940642,Peter Eastman,work,2007,,,"Airplanes,Beaches,Fiction,Individuality,Juvenile fiction",
Fred And Ted Like To Fly,Fred and Ted like to fly,,1,Carrick,375940642,Peter Eastman,work,2007,,,"Airplanes,Beaches,Fiction,Individuality,Juvenile fiction",
Fred And Ted Like To Fly,Fred and Ted like to fly,Peter Eastman,1,Knoxville,375940642,Peter Eastman,work,2007,,,"Airplanes,Beaches,Fiction,Individuality,Juvenile fiction",
Sians Solution,A generalised model of self-fulfilling currency crises with a possible solution,Dale Mayer,1,Knoxville,No ISBN Found,Harvinder Singh Sian,work,1996,,,,
Pirates And Worse,"Star Wars, the clone wars",Simon Beecroft,1,Main (Oakland),9780756657734,Simon Beecroft,work,2010,,32,"Space warfare,Pirates,Juvenile fiction,Good and evil,Interplanetary voyages,Fiction",
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,3,Squirrel Hill,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Carrick,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Carrick,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Carrick,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Squirrel Hill,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Squirrel Hill,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Main (Oakland),142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Hill District,142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Main (Oakland),142319957X,Mo Willems,work,2014,,,,
Waiting Is Not Easy,Waiting is not easy! (An Elephant & Piggie Book),Mo Willems,1,Beechview,142319957X,Mo Willems,work,2014,,,,
